State,nextUnsheltered,overall,unsheltered,population,unemployment
AL,1809,6046,2155,4785437,10.5
AR,1622,2762,1034,2921964,8.2
AZ,3202,13711,6497,6407172,10.4
CA,74437,123480,72581,37319502,12.2
CO,8970,15482,6451,5047349,8.7
CT,695,4316,499,3579114,9.1
DC,305,6539,430,605226,9.4
DE,22,982,52,899593,8.4
FL,35863,57551,35734,18845537,11.1
GA,12252,19836,11090,9711881,10.5
HI,2556,5834,2299,1363963,6.9
IA,121,3014,111,3050745,6
ID,614,2346,782,1570746,9
IL,2920,14395,2187,12840503,10.4
IN,646,6452,1219,6490432,10.4
KS,289,2024,196,2858190,7.1
KY,851,6623,1024,4348181,10.2
LA,5886,12482,8386,4544532,8
MA,703,16646,1051,6566307,8.3
MD,3712,10845,4330,5788645,7.7
ME,29,2379,28,1327629,8.1
MI,2321,13058,2839,9877510,12.6
MN,928,7869,1139,5310828,7.4
MO,2271,8122,1786,5995974,9.6
MS,1250,2743,1562,2970548,10.4
MT,552,1615,447,990697,7.3
NC,3651,12191,3018,9574323,10.9
ND,43,799,31,674715,3.8
NE,507,3877,522,1829542,4.6
NH,310,1574,237,1316762,5.8
NJ,1307,13737,1654,8799446,9.5
NM,848,3475,1367,2064552,8.1
NV,4605,11205,3357,2702405,13.5
NY,3667,65606,4139,19399878,8.6
OH,1806,12569,1840,11539336,10.3
OK,1637,5229,1914,3759944,6.8
OR,10242,19492,12261,3837491,10.6
PA,1060,14516,1098,12711160,8.5
RI,31,1282,76,1053959,11.2
SC,2139,4473,1437,4635649,11.2
SD,64,731,64,816166,5
TN,3198,10276,3277,6355311,9.7
TX,17939,35121,15930,25241971,8.1
UT,443,3284,562,2775332,7.8
VA,1430,9080,1641,8023699,7.1
VT,123,1220,142,625879,6.1
WA,5364,22878,6389,6742830,10
WI,430,6333,1080,5690475,8.7
WV,806,2264,740,1854239,8.7
WY,843,579,64,564487,6.4
AK,192,1992,327,698895,7.7
AL,2155,6080,2167,4757938,11
AR,1034,2852,1122,2896843,7.8
AZ,6497,14721,6355,6343154,9.9
CA,72581,123678,72901,36961229,11.2
CO,6451,15268,6237,4972195,7.3
CT,499,4605,502,3561807,7.9
DC,430,6228,321,592228,9.3
DE,52,1130,47,891730,8.3
FL,35734,55599,33732,18652644,10.4
GA,11090,20360,10941,9620846,9.9
HI,2299,5782,2514,1346717,7.2
IA,111,3380,159,3032870,6.4
ID,782,1939,462,1554439,8.8
IL,2187,14055,2204,12796778,10.2
IN,1219,6984,1778,6459325,10.3
KS,196,1892,196,2832704,6.9
KY,1024,5999,700,4317074,10.3
LA,8386,12504,8386,4491648,6.8
MA,1051,15482,1006,6517613,8.1
MD,4330,11698,4252,5730388,7
ME,28,2444,38,1329590,8.1
MI,2839,14005,2707,9901591,13.7
MN,1139,7718,946,5281203,7.8
MO,1786,6959,1490,5961088,9.3
MS,1562,2797,1576,2958774,9.5
MT,447,1196,363,983982,6.8
NC,3018,12918,4445,9449566,10.6
ND,31,773,8,664968,4.1
NE,522,3718,639,1812683,4.6
NH,237,1645,239,1316102,6.2
NJ,1654,13169,1298,8755602,9.1
NM,1367,3475,1367,2036802,7.5
NV,3357,11089,3297,2684665,11.3
NY,4139,61067,3613,19307066,8.3
OH,1840,12700,1771,11528896,10.3
OK,1914,4838,1531,3717572,6.4
OR,12261,17309,9867,3808600,11.3
PA,1098,15096,1277,12666858,8
RI,76,1607,51,1053646,11
SC,1437,4473,1437,4589872,11.2
SD,64,731,64,807067,4.9
TN,3277,10532,3399,6306019,10.5
TX,15930,36761,15103,24801761,7.6
UT,562,3795,255,2723421,7.3
VA,1641,8852,1568,7925937,6.7
VT,142,1214,157,624817,6.6
WA,6389,22782,6545,6667426,9.2
WI,1080,6525,1060,5669264,8.6
WV,740,1667,389,1847775,7.7
WY,64,515,64,559851,6.3
AK,327,1646,194,687455,6.7
AL,2167,5387,1544,4718206,5.7
AR,1122,3255,1235,2874554,5.5
AZ,6355,12488,5518,6280362,6.2
CA,72901,136531,89566,36604337,7.3
